RepRapFirmware height map file v2 generated at 2020-09-05 13:13, min error -0.275, max error 2.124, mean 0.877, deviation 0.516
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
35.00,265.00,35.00,265.00,-1.00,40.00,40.00,6,6
  1.895,  1.335,  1.055,  0.584,  0.345,  0.130
  2.124,  1.219,  1.263,  0.661,  0.415,  0.139
  1.556,  1.050,  0.649,  0.588,  0.450, -0.275
  1.261,  1.265,  0.934,  0.733,  0.453,  0.249
  1.707,  1.069,  0.900,  1.221,  0.908,  0.299
  1.237,  1.079,  1.024,  0.771,  0.989,  0.301
